best_so_far,best_iter,worst_iter,mean_fitness,median_fitness,stddev_fitness
278.8326740009114,278.8326740009114,16152.350001196311,6664.801963878127,6367.6586783372295,3832.6494474172446
273.1103115423296,273.1103115423296,15028.643405644962,6113.404640576577,5765.988178831514,3539.8066642525655
256.67059525826176,256.67059525826176,13966.07836449181,5388.393518670316,5033.263580821871,3191.970855605851
180.97426191062306,180.97426191062306,12557.504326910246,4562.283843741691,4123.433389113994,2790.8817697733566
108.02853468597581,108.02853468597581,10922.752347204425,3724.4413116020232,3467.900703924886,2363.5563579408217
65.24129118486044,65.24129118486044,9328.030519719097,3018.2437812904554,2917.7967155284423,2001.5113205651835
35.253617930136684,35.253617930136684,7880.995646472135,2376.2951921536646,2042.4409380223249,1627.250852026575
18.307639876738026,18.307639876738026,6298.858916012723,1834.637614829343,1667.2562107994656,1275.5639009573852
18.307639876738026,19.566289476103655,4386.398820544002,1381.3042597006713,1316.9666337429771,960.6798619515332
18.307639876738026,36.33552890217389,3515.415624273901,1016.3412676541691,933.580128380052,723.6336766423792
18.307639876738026,28.97100158063012,2782.916265433765,709.8050244773972,640.4664842206191,535.8941617925034
5.2233130445701335,5.2233130445701335,2001.9078560522375,461.5855880565908,418.1088291478378,356.28029796243896
5.2233130445701335,14.271194333211856,1440.6270675447554,283.7908708993541,240.12388871369393,225.48264101105835
5.2233130445701335,12.06466349403014,855.7530398043738,165.82177319088646,147.41231688423457,127.88683538567967
5.2233130445701335,8.388545288030237,425.8736925256736,102.39885039196179,111.28716704871226,68.11464609270854
5.2233130445701335,9.617608218813054,250.84804382561464,82.46023741822742,73.29863512679839,51.02655954838061
5.2233130445701335,11.882548154189337,243.60610405406467,65.2225038772251,50.3431950993492,49.76935646308638
5.2233130445701335,7.0104852132731965,192.53483167751682,50.6651117411408,43.33891979757457,34.345397226913036
5.2233130445701335,13.385957547988468,97.2791011079017,37.81699700707236,36.25988556605563,16.371039507164603
5.2233130445701335,8.259388383460603,62.65371011875726,29.498136184752152,30.03134338645996,11.100992807324893
1.8917194966687723,1.8917194966687723,41.804026849573475,18.957311679801634,18.673076260467525,7.5901753526381
1.0957422286974758,1.0957422286974758,26.81395400489629,11.710630296833267,10.254823240914378,5.7891997725464925
0.4463769034416442,0.4463769034416442,14.585659822344772,4.727280911553091,4.537821909748189,3.1759496168893104
0.009876238658993166,0.009876238658993166,14.699081498482274,2.598130324933534,1.6488672101665411,2.835121139413392
0.009876238658993166,0.017932257459658305,30.830588407639848,1.839581729977809,0.8109897158663841,4.407014300362054
0.009876238658993166,0.10329804160739357,17.696754657722867,2.179412079702075,1.2452752467142,3.053726511371298
0.009876238658993166,0.04964926473132066,3.721206645035676,1.1119643987370191,0.999082664158267,0.8228198511814458
0.003742260343951207,0.003742260343951207,7.264058080551615,1.681379392381327,1.3489081634457794,1.441482887565388
0.003742260343951207,0.024469903023288143,2.8470448723276913,0.7043091346747415,0.5023031417328953,0.6659090889522524
0.003742260343951207,0.04073434429831173,6.408362686100589,1.8424507998509752,1.3298278449072565,1.5390763693532576
0.003742260343951207,0.008090017316496282,1.9474652046445922,0.6483739949404155,0.3922724623460773,0.5793258334497285
0.003742260343951207,0.049100325428009385,10.572932840800444,2.5039277275979233,1.956415741986578,2.1247631574290735
0.003742260343951207,0.019392902359246886,8.788036408402041,0.9260045173646553,0.3524363039609856,1.4291883496904607
0.003742260343951207,0.039314094612956714,13.35308750855767,2.730400257179362,2.203632215056354,2.447579108937968
0.0015669527894674683,0.0015669527894674683,9.107155278971957,1.2558134336814604,0.4095308807848831,2.1222909325410244
0.0015669527894674683,0.027269505940776113,10.652249633856725,2.642930237257541,1.9615026507402167,2.349807912640385
0.0015669527894674683,0.008212253770070246,8.499820535653866,1.2979917886051815,0.4534510800672558,1.845476439145943
0.0015669527894674683,0.08166176968025787,12.342327973681611,2.0099550392015764,1.2916427705627656,2.2016285582450266
0.0015669527894674683,0.005072984692733681,5.7104763921347,0.7860042578603275,0.25311101381908163,1.2195118965614036
0.0015669527894674683,0.05047393269486283,10.43525874337175,2.2009849909119605,1.691821503394153,2.0587985236537816
0.0015669527894674683,0.015702394933170414,10.712937120960046,1.00828953030649,0.5353687112608027,1.6603006856995104
0.0015669527894674683,0.04750300858108311,6.1314330371380645,1.8474911227225166,1.6838904866928686,1.29392403251582
0.0015669527894674683,0.0132744013890073,5.169205838072307,0.711065012685305,0.4202713930774975,0.9384583278245751
0.0015669527894674683,0.04797047721086295,4.495507599132821,1.595346051924797,1.343428349342147,1.2739345697415148
0.0015669527894674683,0.012281066118738892,4.167916402080285,0.7582736457465896,0.5233113803269808,0.7447366140689539
0.0015669527894674683,0.00850219252293866,3.3803880500495604,1.1204042330878388,1.1182969565397056,0.8851912694445782
0.0015669527894674683,0.0016377451704475926,2.278752126455238,0.6483271085127933,0.4850845747506455,0.5490321362178712
0.0015669527894674683,0.023332491009497247,7.050865410320795,1.0718306158481314,0.7573814587127107,1.2783831243827055
0.0015669527894674683,0.007458395365530882,2.058583227998951,0.6829528443640537,0.6466762873579139,0.5769062540689827
0.0015669527894674683,0.008174589945055127,6.716918370838865,1.3186568988613698,0.9149913594870525,1.2913740154709945
0.0015669527894674683,0.0020755403260945457,3.70645170141604,0.5884512342229651,0.2658910215022027,0.8568059741067447
0.0015669527894674683,0.0327893859771476,8.37002918445676,1.6956596718031323,1.4787095391594307,1.609736347280754
0.0015669527894674683,0.008757093218039014,4.124051498794061,0.6400127331682142,0.36881701632351616,0.816834705926158
0.00018254153327992593,0.00018254153327992593,6.5049439313043935,1.8346067854073391,1.3297718102042582,1.6055741280778195
0.00018254153327992593,0.0009317341041765475,3.6115359068004227,0.5631610415676632,0.37769413684123554,0.70667312159474
0.00018254153327992593,0.042794921014141805,7.803467838637086,1.8425802255772405,1.5476298527686834,1.4784712043287276
0.00018254153327992593,0.0020346495256065807,7.46254362657425,0.709183886387897,0.31188260916913557,1.231567752081098
0.00018254153327992593,0.06556064098069529,4.991500053324916,1.756113054513586,1.6722800465671868,1.2011893125894617
0.00018254153327992593,0.027091710749435963,5.1204834610537935,0.5483953978176143,0.3051112032908896,0.8750034489167764
0.00018254153327992593,0.014816406067818458,6.007223770765878,1.458530361056117,1.209561323711947,1.3909646254402592
0.00018254153327992593,0.0025783955303374786,3.3113002476344695,0.47967436910667516,0.23064173441010644,0.6373916407617188
0.00018254153327992593,0.042547387477320696,9.187334625334964,1.4705976792903592,1.135866843416856,1.5002389537488678
0.00018254153327992593,0.003659213142139986,3.0573272395149034,0.37094091088397363,0.14107898548896472,0.5993815574185477
0.00018254153327992593,0.06939894618106487,4.6222622696350975,1.3363924074165576,0.9775132262662267,1.0844127290038943
0.00018254153327992593,0.0010817700901652452,2.258795552509281,0.36672358434303587,0.20891712666526002,0.4529178570200222
0.00018254153327992593,0.11308436982809336,6.0941796783167925,1.496702807026705,0.8578877199047115,1.4152893529923969
0.00018254153327992593,0.0018531489980050937,7.82559565657385,0.8488952695621418,0.3348667838185312,1.4675750861336558
0.00018254153327992593,0.005610427506363144,3.07716477662997,0.696348932386044,0.4990028073436268,0.6802670690791203
0.00018254153327992593,0.003950275331969287,4.127862255240751,0.5678923883067293,0.38038804420059774,0.673864659258137
0.00018254153327992593,0.0015843420133004726,3.0031554164251038,0.6282744961134132,0.3872154881913623,0.6650912176818139
0.00018254153327992593,0.011776955433458676,2.8411360244022976,0.5817277210024966,0.38292358294515283,0.548473054201723
0.00018254153327992593,0.0006277973082410965,2.3798038177680945,0.37488165557223774,0.22908833083961605,0.43504543159660036
0.00018254153327992593,0.027227095719193222,2.9854542654715126,0.7415743629009962,0.5934548918913898,0.6760219496023614
0.00018254153327992593,0.010220087992217021,1.9216573282603988,0.390820823795091,0.18016006363962667,0.44460620791029404
0.00018254153327992593,0.008787086190713545,3.902041304117031,0.7443804154968869,0.5567325915060464,0.7618674178150212
0.00018254153327992593,0.0036940378790760904,2.1579813857389407,0.33803253653244225,0.13815651150923097,0.4605586629569865
0.00018254153327992593,0.001379656181107631,3.0988924500556982,0.7298433805913309,0.6888686555368214,0.6255238091185074
0.00018254153327992593,0.0012765917604517106,2.5427121917738966,0.28329793536153436,0.16776158840981403,0.39550155556611505
0.00018254153327992593,0.03397644546614199,3.1389744309124885,0.8480891322043941,0.512643654775742,0.7889234910128924
0.00018254153327992593,0.010448702298116778,2.4714628018915192,0.3887317406532237,0.25825942183443845,0.4610339785408944
0.00018254153327992593,0.010230714582562573,3.8036512850662962,0.7269699518030504,0.4281253951401681,0.7963355639679675
0.00018254153327992593,0.012780239761899022,1.7206978627256675,0.32532324745524555,0.17015206957577994,0.38996293050749203
0.00018254153327992593,0.01148223745622979,2.8884986395030197,0.6051703735093263,0.3846752469476505,0.6189165319534763
0.00018254153327992593,0.005702789226226961,1.354839650904113,0.22502304600529746,0.14945962964419374,0.27423938713122253
0.00018254153327992593,0.01823216664201803,4.177308962652332,0.802897086898315,0.5797769574116709,0.7211275858447966
0.00018254153327992593,0.0006212419176361551,1.6208464510039011,0.20146075358222162,0.1144832090837876,0.26209466810031107
0.00018254153327992593,0.06691175029731972,4.588319665458189,1.064664397443803,0.9257219403759129,0.8735595085021077
0.00018254153327992593,0.004140558057373715,2.9767423184118895,0.5039299040498395,0.14613479743332458,0.7148755519029893
0.00018254153327992593,0.05915773213711466,3.642016407514813,0.887441034386773,0.7918682103864663,0.7582695852020235
0.00018254153327992593,0.0018538893487946467,3.9885405257465965,0.37082579309499425,0.16711179341974142,0.7383228748473355
0.00018254153327992593,0.040159991464394494,3.987858999490221,1.0717093933418085,0.874122858403612,0.851059191101874
0.00018254153327992593,0.005070648001693523,3.30837308771391,0.4083187359724797,0.14026349460581683,0.6027999167114525
0.00018254153327992593,0.012319806793838265,2.297161325788879,0.6606091598871683,0.5821916803411117,0.5209455939370146
0.00018254153327992593,0.0103053130780984,2.691098551019992,0.31195722056867015,0.17426707373175518,0.4365626977897683
0.00018254153327992593,0.0034454988675680816,2.816041499598096,0.5034014396183849,0.3812730954284158,0.5262178621203497
