iteration,best_so_far,best_iter,worst_iter,mean_fitness,median_fitness,stddev_fitness
78,25.9426,40.3309,10675.1,424.979,140.165,1479.16
79,25.9426,101.04,10675.1,1322.29,760.936,1657.88
80,25.9426,51.8767,10675.1,504.198,168.228,1515.45
81,25.9426,139.645,10675.1,1257.17,851.628,1535.59
82,25.9426,62.2893,10675.1,521.969,163.92,1505.31
83,25.9426,145.215,10675.1,1085.55,631.151,1536.41
84,25.9426,52.1182,10675.1,523.339,163.237,1505.49
85,25.9426,143.084,10675.1,1162.7,659.697,1565.05
86,25.9426,35.8937,10675.1,402.847,149.432,1474.89
87,25.9426,120.622,10675.1,1232.46,845.451,1546.27
88,25.9426,32.6051,10675.1,489.636,139.151,1523
89,25.9426,80.3672,10675.1,1234.42,785.87,1551.78
90,22.9904,22.9904,10675.1,521.934,169.914,1495.12
91,22.9904,91.227,10675.1,1179.31,699.4,1562.18
92,22.9904,32.2989,10675.1,440.388,106.851,1502.47
93,22.9904,73.7405,10675.1,1093.93,686.545,1523.13
94,22.9904,39.1432,10675.1,472.02,89.8268,1525.02
95,22.9904,47.0209,10675.1,1090.68,680.39,1554.8
96,22.9904,34.9682,10675.1,397.131,110.521,1491.97
97,22.9904,124.907,10675.1,1098.94,653.373,1528.64
98,22.9904,34.7539,10675.1,523.68,131.246,1525.05
99,22.9904,111.262,10675.1,1026.42,556.123,1573.34
100,22.9904,29.9944,10675.1,388.521,111.149,1497.57
101,22.9904,75.1633,10675.1,1123.22,528.408,1646
102,22.9904,43.8702,10675.1,510.603,103.378,1599.02
103,22.9904,72.8492,10675.1,962.304,571.41,1507.97
104,22.9904,41.4231,10675.1,447.248,94.5055,1508.96
105,22.9904,44.3824,10675.1,1056.76,637.019,1530.53
106,22.9904,26.1511,10675.1,341.843,87.702,1481.47
107,22.9904,118.59,10675.1,1154.65,848.902,1527.16
108,18.454,18.454,10675.1,517.222,98.8251,1544.66
109,18.454,99.1989,10675.1,1000.8,558.609,1599.65
110,18.454,23.95,10675.1,456.972,115.368,1532.66
111,18.454,55.3547,10675.1,954.023,682.325,1515.79
112,18.454,24.747,10675.1,459.598,93.6817,1514.14
113,18.454,24.9174,10675.1,1022.62,674.158,1529.65
114,18.454,27.0544,10675.1,434.281,96.6302,1504.01
115,18.454,125.587,10675.1,958.222,501.861,1522.1
116,18.454,24.6018,10675.1,423.656,104.985,1514.48
117,18.454,94.1789,10675.1,1086.26,640.553,1577.19
118,18.454,27.1794,10675.1,429.945,89.6465,1513.69
119,18.454,139.353,10675.1,1100.53,851.332,1509.51
120,18.454,44.0632,10675.1,473.998,114.078,1495.04
121,18.454,123.311,10675.1,922.838,519.129,1539.63
122,18.454,35.0443,10675.1,574.786,121.223,1592.25
123,18.454,61.4156,10675.1,977.771,505.006,1593.17
124,18.454,23.1616,10675.1,517.017,101.498,1526.43
125,18.454,33.5627,10675.1,964.351,491.581,1553.43
126,18.454,26.6164,10675.1,352.884,82.1658,1485.22
127,18.454,109.823,10675.1,985.398,632.084,1511.78
128,18.454,20.766,10675.1,458.783,110.072,1507.01
129,18.454,183.906,10675.1,1027.34,662.523,1509.77
130,18.454,20.29,10675.1,526.071,95.2232,1535.36
131,18.454,53.2531,10675.1,894.739,482.724,1521.03
132,18.454,18.5296,10675.1,378.722,74.3971,1489.56
133,18.454,79.0576,10675.1,898.499,500.918,1528.53
134,18.454,22.8939,10675.1,364.963,84.93,1501.86
135,18.454,42.8035,10675.1,996.256,544.243,1532.04
136,18.454,27.3739,10675.1,531.049,103.478,1557.28
137,18.454,55.8497,10675.1,969.231,520.54,1539.43
138,18.454,32.5599,10675.1,529.451,122.645,1536.52
139,18.454,24.3172,10675.1,795.036,425.388,1529.95
140,18.454,21.4268,10675.1,430.689,92.7545,1524.39
141,18.454,51.2083,10675.1,803.799,432.171,1528.59
142,18.454,24.4616,10675.1,373.103,76.7293,1494.11
143,18.454,87.238,10675.1,869.495,467.418,1500.85
144,18.454,29.3745,10675.1,404.348,101.154,1508.19
145,18.454,62.6886,10675.1,808.494,449.741,1492.82
146,18.454,36.4069,10675.1,407.888,96.0741,1504.26
147,18.454,87.3157,10675.1,1019.58,593.781,1536.65
148,18.454,34.3856,10675.1,471.129,103.11,1522.19
149,18.454,92.9715,10675.1,882.727,507.291,1478.19
150,18.454,29.437,10675.1,440.523,109.357,1502.2
151,18.454,91.4052,10675.1,980.998,539.206,1563.47
152,17.492,17.492,10675.1,524.229,113.059,1536.44
153,17.492,45.6717,10675.1,849.68,440.907,1527.2
154,17.492,30.8631,10675.1,355.496,89.4778,1483.24
155,17.492,71.9688,10675.1,932.123,542.381,1514.55
156,17.492,31.1139,10675.1,423.3,92.3608,1515.66
157,17.492,93.6254,10675.1,915.591,543.207,1515.46
158,17.492,36.6089,10675.1,491.475,116.103,1518.1
159,17.492,54.9466,10675.1,851.551,483.852,1518.95
160,17.492,26.9389,10675.1,500.745,116.513,1533.61
161,17.492,57.344,10675.1,712.622,337.406,1515.61
162,17.492,26.7513,10675.1,357.894,96.6241,1483.75
163,17.492,67.119,10675.1,745.883,397.704,1504.71
164,17.492,30.4657,10675.1,421.713,107.894,1501.87
165,17.492,67.0315,10675.1,653.302,294.173,1485.5
166,17.492,30.7617,10675.1,382.666,91.1989,1497.59
167,17.492,72.2822,10675.1,741.952,297.931,1540.79
168,17.492,23.0377,10675.1,362.734,81.1298,1496.52
169,17.492,86.1903,10675.1,878.97,451.769,1526.3
170,17.492,35.0601,10675.1,348.731,70.3314,1492
171,17.492,93.4279,10675.1,974.051,497.512,1553.42
172,17.492,38.4174,10675.1,392.588,70.4983,1507.64
173,17.492,72.7408,10675.1,1024.52,499.63,1591.99
174,17.492,24.2443,10675.1,509.905,113.118,1537.3
175,17.492,32.7615,10675.1,765.958,342.139,1511.25
176,17.492,25.048,10675.1,355.793,71.8588,1490.56
177,17.492,33.2903,10675.1,745.294,411.634,1482.03
178,17.492,21.452,10675.1,436.369,72.3045,1510.84
179,17.492,74.6066,10675.1,712.612,384.94,1503.95
180,17.2931,17.2931,10675.1,377.555,73.2207,1497.8
181,17.2931,44.9767,10675.1,764.202,399.433,1522.71
182,17.2931,31.8455,10675.1,493.717,79.8484,1545.99
183,17.2931,61.7386,10675.1,782.369,354.191,1530.06
184,17.2931,24.9335,10675.1,439.463,72.0154,1538.29
185,17.2931,77.0427,10675.1,850.931,475.563,1514.88
186,17.2931,27.8751,10675.1,394.504,67.3511,1509.48
187,17.2931,44.8611,10675.1,910.84,442.365,1543.55
188,17.2931,27.5421,10675.1,549.364,96.3362,1562.53
189,17.2931,82.3836,10675.1,855.267,492.462,1499.16
190,17.2931,25.6357,10675.1,534.854,105.721,1543.2
191,17.2931,30.3714,10675.1,704.274,320.424,1490.02
192,17.2931,29.9954,10675.1,373.855,79.1314,1489.99
193,17.2931,62.1584,10675.1,779.902,351.125,1522.97
194,17.2931,20.3126,10675.1,406.767,81.3915,1496.91
195,17.2931,57.4106,10675.1,704.526,391.135,1484.97
196,17.2931,40.2781,10675.1,344.619,89.5526,1491.57
197,17.2931,70.2421,10675.1,746.339,467.768,1488.82
198,17.2931,35.637,10675.1,377.715,107.086,1488.06
199,17.2931,57.4172,10675.1,873.328,410.952,1568.65
200,17.2931,26.1898,10675.1,431.442,113.457,1515.1
201,17.2931,68.6301,10675.1,938.792,573.891,1509.08
202,17.2931,52.2989,10675.1,486.986,167.006,1497.12
203,17.2931,93.8935,10675.1,817.365,425.57,1530.36
204,17.2931,62.8437,10675.1,393.411,158.193,1472.52
205,17.2931,71.5644,10675.1,775.661,434.711,1486.04
206,17.2931,34.5744,10675.1,482.022,102.609,1541.65
207,17.2931,50.3669,10675.1,698.764,391.628,1468.57
208,17.2931,44.1884,10675.1,412.544,120.816,1488.69
209,17.2931,88.184,10675.1,779.305,425.89,1481.75
210,17.2931,45.3373,10675.1,428.546,137.542,1482.16
211,17.2931,42.5206,10675.1,648.455,303.508,1476.73
212,17.2931,33.0561,10675.1,340.583,93.2117,1479.31
213,17.2931,62.6268,10675.1,854.827,468.285,1510.1
214,17.2931,35.1088,10675.1,390.938,93.4649,1487.24
215,17.2931,112.511,10675.1,915.148,530.625,1503.12
216,17.2931,28.582,10675.1,471.874,133.18,1502.91
217,17.2931,54.8298,10675.1,740.937,353.379,1484.9
218,17.2931,45.7417,10675.1,443.45,111.167,1499.94
219,17.2931,66.7281,10675.1,642.004,259.296,1501.65
220,17.2931,45.1493,10675.1,434.425,112.625,1499.24
221,17.2931,57.4579,10675.1,634.174,328.821,1470.87
222,17.2931,34.6489,10675.1,409.089,104.138,1489.23
223,17.2931,76.1948,10675.1,640.267,358.411,1469.16
224,17.2931,42.3529,10675.1,417.16,163.186,1480.2
225,17.2931,57.8801,10675.1,843.763,456.963,1521.97
226,17.2931,43.563,10675.1,388.594,149.446,1473.66
227,17.2931,66.471,10675.1,902.693,401.036,1564.41
228,17.2931,46.4111,10675.1,501.51,131.072,1531.61
229,17.2931,53.3987,10675.1,721.601,290.769,1528.57
230,17.2931,31.88,10675.1,406.708,128.736,1490.19
231,17.2931,63.6735,10675.1,707.711,394.644,1492.62
232,17.2931,24.3016,10675.1,507.455,113.14,1550.66
233,17.2931,57.4096,10675.1,800.137,362.386,1540.2
234,17.2931,29.5088,10675.1,479.811,124.621,1517.99
235,17.2931,41.9565,10675.1,638.207,312.43,1489.19
236,17.2931,29.5257,10675.1,366.547,105.926,1483.6
237,17.2931,49.6045,10675.1,631.578,283.157,1487.45
238,17.2931,28.9361,10675.1,339.14,84.3771,1483.08
239,17.2931,30.8028,10675.1,778.642,315.333,1550.62
240,17.2931,22.3018,10675.1,324.19,81.0597,1483.09
241,17.2931,60.1883,10675.1,645.286,358.517,1483.77
242,17.2931,30.1745,10675.1,380.913,74.7424,1494.93
243,17.2931,62.5039,10675.1,638.095,265.021,1480.15
244,17.2931,28.4263,10675.1,352.072,96.7584,1489.57
245,17.2931,61.4671,10675.1,648.35,321.557,1496.28
246,17.2931,34.3477,10675.1,446.628,86.1625,1513.62
247,17.2931,42.7651,10675.1,553.149,250.118,1472.64
248,17.2931,31.7762,10675.1,374.429,104.111,1483.45
249,17.2931,30.5955,10675.1,572.304,257.788,1477.56
250,17.2931,29.7657,10675.1,387.213,121.127,1479.12
251,17.2931,54.437,10675.1,520.262,269.797,1469.58
252,17.2931,40.3827,10675.1,357.865,116.385,1482.35
253,17.2931,32.2393,10675.1,589.329,293.724,1482.3
254,17.2931,31.7311,10675.1,343.668,83.9424,1482.58
255,17.2931,30.9179,10675.1,727.934,286.4,1530.26
256,17.2931,32.6181,10675.1,388.166,69.1604,1488.95
257,17.2931,35.5831,10675.1,642.883,258.976,1515.2
258,17.2931,35.3647,10675.1,363.367,75.2886,1496.8
259,17.2931,40.7195,10675.1,623.396,225.37,1528.65
260,17.2931,31.298,10675.1,431.943,62.6307,1523.79
261,17.2931,58.4227,10675.1,626.061,271.63,1495.67
262,16.9445,16.9445,10675.1,341.445,52.9126,1496.76
263,16.9445,37.6422,10675.1,605.573,287.351,1481.97
264,16.9445,25.9481,10675.1,386.78,53.2212,1512.87
265,16.9445,33.5467,10675.1,583.152,265.327,1486.67
266,16.9445,19.9627,10675.1,343.938,58.2915,1502.41
267,16.9445,21.682,10675.1,599.646,259.834,1480.49
268,16.9445,18.2602,10675.1,380.213,67.0708,1503.27
269,16.9445,45.144,10675.1,568.85,239.199,1496.3
270,16.9445,29.3573,10675.1,355.782,62.5046,1506.69
271,16.9445,33.4695,10675.1,556.452,211.83,1492.53
272,16.9445,19.5962,10675.1,356.155,59.0128,1495.69
273,16.9445,27.5595,10675.1,498.283,182.38,1494.08
274,16.9445,17.9269,10675.1,357.378,57.1595,1516.63
275,16.9445,35.1814,10675.1,489.454,196.272,1473.73
276,16.9445,18.9715,10675.1,295.131,46.8828,1486.61
277,16.9445,30.1287,10675.1,459.843,165.075,1482.12
278,16.9445,17.3993,10675.1,262.906,38.9031,1487.9
279,16.9445,53.3454,10675.1,523.944,231.661,1471.15
280,16.9445,22.0051,10675.1,289.244,47.6665,1485.59
281,16.9445,60.1051,10675.1,571.591,275.271,1477.87
282,12.1691,12.1691,10675.1,334.982,57.1156,1486.67
283,12.1691,43.0235,10675.1,525.065,241.121,1470.52
284,12.1691,16.384,10675.1,354.043,59.7427,1503.34
285,12.1691,43.4897,10675.1,467.184,191.862,1476.09
286,12.1691,17.2511,10675.1,341.14,46.5812,1499.11
287,12.1691,29.9819,10675.1,492.142,188.553,1482.53
288,12.1691,20.3103,10675.1,322.603,48.1764,1489.94
289,12.1691,41.6936,10675.1,417.489,177.873,1471.2
290,12.1691,15.4301,10675.1,278.749,48.6766,1486.08
291,12.1691,51.1594,10675.1,520.702,270.668,1467.71
292,12.1691,17.0881,10675.1,341.453,51.2591,1489.16
293,12.1691,32.6062,10675.1,436.844,158.27,1475.85
294,12.1691,22.9256,10675.1,300.754,53.2681,1488.64
295,12.1691,26.9359,10675.1,474.509,186.109,1483.04
296,12.1691,17.1598,10675.1,334.38,53.0707,1492.4
297,12.1691,20.3662,10675.1,486.951,193.29,1486.99
298,12.1691,25.2418,10675.1,302.585,68.0684,1484.82
299,12.1691,34.4678,10675.1,492.943,171.733,1494.95
300,12.1691,15.7955,10675.1,364.509,53.5009,1525.34
301,12.1691,28.0894,10675.1,549.961,160.803,1543.02
302,12.1691,16.9427,10675.1,308.794,46.4439,1486.74
303,12.1691,19.9829,10675.1,505.297,183.149,1499.08
304,12.1691,21.3005,10675.1,296.594,41.8048,1490.51
305,12.1691,50.7656,10675.1,488.774,161.986,1480.91
306,12.1691,16.6942,10675.1,327.911,40.0201,1495.5
307,12.1691,20.3631,10675.1,447.457,138.363,1475.44
308,12.1691,16.4017,10675.1,293.365,40.6853,1488.01
309,12.1691,27.0433,10675.1,426.016,157.779,1475.21
310,12.1691,16.4569,10675.1,312.233,46.0442,1496.4
311,12.1691,30.2193,10675.1,510.325,209.05,1488.31
312,12.1691,24.0479,10675.1,369.462,64.4308,1510.05
313,12.1691,23.029,10675.1,438.578,172.086,1473.67
314,12.1691,19.6516,10675.1,310.022,52.8172,1491.99
315,12.1691,34.2615,10675.1,415.924,164.6,1474.37
316,12.1691,20.2463,10675.1,279.461,42.4902,1488.14
317,12.1691,24.4365,10675.1,407.128,153.222,1473.32
318,12.1691,19.1798,10675.1,276.312,45.0199,1487.08
319,12.1691,47.115,10675.1,455.359,161.915,1481.75
320,12.1691,18.9109,10675.1,296.971,38.4383,1490.15
321,12.1691,29.5615,10675.1,468.78,205.06,1474.87
322,12.1691,18.3792,10675.1,321.703,51.4506,1486.3
323,12.1691,21.0398,10675.1,423.744,144.812,1475.06
324,12.1691,19.9704,10675.1,302.863,49.4742,1485.43
325,12.1691,22.3137,10675.1,424.188,116.188,1486.33
326,12.1691,17.2284,10675.1,304.659,48.7709,1487.58
327,12.1691,20.1889,10675.1,364.205,95.2737,1485.3
328,12.1691,18.28,10675.1,263.385,36.4158,1488.01
329,12.1691,25.3677,10675.1,369.994,122.203,1478.33
330,12.1691,16.9205,10675.1,273.662,38.8549,1488.15
331,12.1691,30.4209,10675.1,397.535,152.089,1476.05
332,12.1691,12.3614,10675.1,255.771,32.0523,1488.85
333,12.1691,40.56,10675.1,433.98,220.265,1469.76
334,12.1691,15.0351,10675.1,290.629,43.1558,1490.38
335,12.1691,25.1628,10675.1,439.954,164.073,1484.3
336,12.1691,16.3306,10675.1,289.418,42.6992,1489.91
337,12.1691,14.7395,10675.1,436.681,194.997,1473.45
338,12.1691,13.9017,10675.1,292.175,36.6381,1486.09
339,12.1691,16.1012,10675.1,372.974,111.362,1478.39
340,12.1691,13.1496,10675.1,279.127,35.4245,1487.59
341,12.1691,15.5408,10675.1,391.021,137.999,1480.85
342,12.1691,15.5894,10675.1,269.855,37.25,1487.58
343,12.1691,32.5126,10675.1,416.554,148.834,1483.06
344,12.1691,14.5503,10675.1,270.051,32.9818,1488.46
345,12.1691,34.2527,10675.1,414.861,139.848,1473.92
346,12.1691,14.3071,10675.1,277.816,32.9319,1487.82
347,12.1691,25.4823,10675.1,415.625,177.727,1472.43
348,12.1691,15.1604,10675.1,273.996,31.269,1488.12
349,12.1691,13.9955,10675.1,401.562,142.452,1479.39
350,12.1691,15.0703,10675.1,266.44,35.9643,1487.73
351,12.1691,14.0545,10675.1,441.882,127.328,1482.43
352,12.1691,13.0124,10675.1,290.502,37.2653,1489.47
353,12.1691,26.7889,10675.1,444.977,171.124,1480.95
354,12.1691,15.4704,10675.1,371.129,37.0919,1524.04
355,12.1691,22.7814,10675.1,398.53,124.629,1478.81
356,12.1691,15.3082,10675.1,323.426,34.9828,1514.61
357,12.1691,31.1706,10675.1,410.736,167.881,1477.18
358,12.1691,13.2179,10675.1,290.735,46.1325,1487.9
359,12.1691,30.9885,10675.1,425.283,187.308,1477.51
360,12.1691,18.9832,10675.1,361.998,51.7137,1513.32
361,12.1691,39.0884,10675.1,376.262,135.233,1476.8
362,12.1691,22.8889,10675.1,284.88,52.8047,1485.94
363,12.1691,34.0355,10675.1,398.921,155.29,1475.47
364,12.1691,15.0607,10675.1,289.34,46.2713,1489.59
365,12.1691,22.8352,10675.1,437.808,178.002,1480.38
366,12.1691,18.7897,10675.1,301.199,51.2012,1486.82
367,12.1691,27.9294,10675.1,385.148,148.513,1474.38
368,12.1691,22.1705,10675.1,306.166,45.969,1485.14
369,12.1691,29.4322,10675.1,386.595,116.279,1488.65
370,12.1691,18.2114,10675.1,305.65,38.3645,1513.39
371,12.1691,29.1754,10675.1,406.991,91.1677,1489.61
372,12.1691,14.0612,10675.1,288.832,29.7268,1489
373,12.1691,31.386,10675.1,398.881,114.74,1486.34
374,12.1691,17.186,10675.1,276.092,38.7688,1486.84
375,12.1691,35.3091,10675.1,444.977,135.942,1499.15
376,12.1691,22.0376,10675.1,301.744,44.729,1490.07
377,12.1691,20.8787,10675.1,374.98,108.526,1482.06
378,12.1691,17.1301,10675.1,308.875,43.7832,1493.09
379,12.1691,30.8068,10675.1,356.247,76.8136,1481.08
380,12.1691,19.3574,10675.1,280.198,41.1432,1488.02
381,12.1691,31.841,10675.1,344.048,94.3389,1481.09
382,12.1691,17.0533,10675.1,269.229,41.6091,1487.75
383,12.1691,41.264,10675.1,351.219,106.338,1479.46
384,12.1691,14.5824,10675.1,259.401,36.1337,1488.4
385,12.1691,45.1054,10675.1,388.933,133.612,1476.8
386,12.1691,19.422,10675.1,318.616,38.0554,1488.78
387,12.1691,28.0448,10675.1,348.352,87.9738,1480.03
388,12.1691,16.5357,10675.1,263.785,39.7225,1487.82
389,12.1691,31.4814,10675.1,367.634,117.039,1477.78
390,12.1691,12.6894,10675.1,276.143,29.7108,1488.9
391,12.1691,16.6375,10675.1,368.137,135.791,1477.93
392,12.1691,16.1973,10675.1,275.262,26.0108,1489.79
393,12.1691,15.5446,10675.1,393.32,140.468,1474.35
394,12.1691,16.6098,10675.1,274.309,32.2696,1488.98
395,12.1691,15.0217,10675.1,370.496,141.397,1475.66
396,12.1691,13.8027,10675.1,261.102,28.2098,1489.01
397,12.1691,36.0008,10675.1,396.657,147.824,1476
398,12.1691,14.1155,10675.1,267.955,30.9745,1488.84
399,12.1691,29.5188,10675.1,374.521,145.296,1475.28
400,12.1691,15.0874,10675.1,282.498,37.1816,1487.04
401,12.1691,37.5769,10675.1,376.276,109.541,1478.57
402,12.1691,17.7136,10675.1,290.08,46.7247,1486.12
403,12.1691,32.6088,10675.1,350.103,106.501,1477.48
404,12.1691,12.4918,10675.1,255.112,31.5023,1488.86
405,12.1691,20.7587,10675.1,383.044,105.675,1488.02
406,12.1691,12.7433,10675.1,297.698,38.1169,1499.85
407,12.1691,27.227,10675.1,385.86,118.502,1481.97
408,12.1691,18.1247,10675.1,276.019,44.0259,1487.01
409,12.1691,25.5101,10675.1,358.091,114.455,1480.38
410,12.1691,15.9829,10675.1,266.25,34.0202,1488.05
411,12.1691,25.4837,10675.1,349.847,103.765,1478.73
412,12.1691,13.3908,10675.1,261.643,37.4231,1488.33
413,12.1691,27.7411,10675.1,402.734,111.297,1481.34
414,12.1691,14.277,10675.1,328.775,34.4932,1505.17
415,12.1691,21.7149,10675.1,353.562,100.541,1481.52
416,12.1691,13.1831,10675.1,277.107,35.6554,1488.16
417,12.1691,25.1582,10675.1,336.516,99.098,1479.46
418,12.1691,21.9014,10675.1,287.279,35.9862,1491.03
419,12.1691,23.8726,10675.1,355.349,99.2294,1479.66
420,12.1691,16.9408,10675.1,263.722,35.8831,1487.97
421,12.1691,24.3072,10675.1,394.358,124.031,1477.97
422,12.1691,14.4516,10675.1,293.944,37.0549,1489.8
423,12.1691,20.6761,10675.1,366.626,129.625,1477.64
424,12.1691,22.8856,10675.1,303.989,55.0258,1488.84
425,12.1691,16.2638,10675.1,355.994,98.9775,1479.05
426,12.1691,20.4101,10675.1,282.746,40.6775,1486.68
427,12.1691,19.6261,10675.1,323.564,90.3489,1481.11
428,12.1691,16.1737,10675.1,256.224,37.9134,1488.78
429,12.1691,16.8825,10675.1,337.765,94.2954,1479.65
430,12.1691,18.0411,10675.1,251.82,36.1545,1489.17
431,12.1691,31.2124,10675.1,394.265,121.5,1477.83
432,12.1691,16.2872,10675.1,262.611,39.3291,1487.92
433,12.1691,33.5266,10675.1,370.947,123.593,1483.2
434,12.1691,14.1362,10675.1,261.869,39.6524,1488.14
435,12.1691,26.6003,10675.1,324.885,99.0246,1479.81
436,11.6065,11.6065,10675.1,270.963,32.0388,1487.78
437,11.6065,18.5128,10675.1,327.611,106.035,1481.14
438,11.6065,15.4933,10675.1,257.617,32.9405,1488.69
439,11.6065,17.0217,10675.1,330.844,83.7025,1480.98
440,11.3332,11.3332,10675.1,255.453,28.2297,1489.1
441,11.3332,22.4263,10675.1,368.852,117.65,1485.09
442,11.3332,15.7475,10675.1,267.717,37.7985,1487.96
443,11.3332,18.5348,10675.1,346.478,95.2069,1481.76
444,11.3332,11.7617,10675.1,262.41,30.2575,1488.47
445,11.3332,17.2823,10675.1,338.526,93.2747,1482.24
446,11.3332,14.4958,10675.1,273.515,27.5047,1492.26
447,11.3332,15.0118,10675.1,321.519,79.1427,1482.49
448,11.3332,12.2708,10675.1,276.297,26.5872,1490.81
449,11.3332,12.5359,10675.1,328.809,71.9372,1485.16
450,11.3332,13.3146,10675.1,312.848,26.8989,1500.17
451,11.3332,13.8222,10675.1,294.832,60.1868,1484.51
452,11.3332,12.0367,10675.1,269.311,26.2841,1495.41
453,11.3332,13.7653,10675.1,309.943,55.9524,1485.2
454,11.3332,11.7841,10675.1,260.683,25.432,1490.41
455,11.3332,12.8383,10675.1,297.38,62.0357,1484.02
456,11.3332,11.5146,10675.1,251.786,26.5323,1489.64
457,11.3332,16.6957,10675.1,306.443,73.7279,1483.67
458,11.3332,15.3829,10675.1,257.614,24.2529,1489.31
459,11.3332,21.1203,10675.1,316.278,75.2433,1483.24
460,11.3332,12.0254,10675.1,259.921,23.4237,1489.47
461,11.3332,20.0969,10675.1,298.689,79.3267,1483.16
