iteration,agent,x,y,mass,fitness
4,5,-0.224929,0.37307,0.0374686,0.189774
4,6,-0.529296,2.44196,0.0359121,6.24335
4,7,-0.937201,0.415657,0.0372471,1.05112
4,8,-0.421909,5.64974,0.0292643,32.0976
4,9,-2.52477,-1.54692,0.0352631,8.76743
4,10,0.34587,-0.596695,0.0373951,0.475671
4,11,1.97814,1.01523,0.0362462,4.94373
4,12,2.41875,0.125706,0.0360091,5.86616
4,13,7.06517,-0.80776,0.0245149,50.5691
4,14,-1.59711,-1.11618,0.0365412,3.7966
4,15,-0.821049,0.192943,0.0373345,0.711348
4,16,5.35944,6.7783,0.0183182,74.6689
4,17,1.34496,-2.06682,0.0359539,6.08067
4,18,-0.112853,-1.28136,0.037092,1.65461
4,19,-0.0661693,-2.68777,0.0356588,7.22849
4,20,-0.84663,-0.208822,0.0373219,0.76039
4,21,0.392647,0.0146841,0.0374777,0.154387
4,22,0.0334926,0.126481,0.037513,0.0171192
4,23,8.93491,0.130074,0.0169862,79.8495
4,24,-0.454819,-0.595681,0.037373,0.561696
4,25,4.85027,1.16713,0.0311183,24.8874
4,26,0.291611,-0.0496454,0.0374949,0.0875015
4,27,9.7965,7.06685,0,145.912
4,28,0.89425,-2.03248,0.0362496,4.93064
4,29,2.7416,-0.886058,0.0353829,8.30149
5,0,0.244286,0.0615884,0.035615,0.0634689
5,1,0.642296,-0.966782,0.0353015,1.34721
5,2,-0.0428198,-0.578159,0.0355484,0.336101
5,3,2.16335,1.26413,0.0340974,6.27812
5,4,-0.017445,0.006146,0.0356304,0.000342103
5,5,0.579624,-0.983249,0.0353124,1.30274
5,6,1.32304,-0.841141,0.0350303,2.45795
5,7,-0.0957973,-1.08465,0.035341,1.18565
5,8,-1.0885,2.94411,0.0332246,9.85265
5,9,0.428949,-0.516745,0.0355204,0.451022
5,10,-0.0706593,0.481138,0.0355727,0.236487
5,11,0.178972,-0.10523,0.03562,0.0431042
5,12,0.94006,1.259,0.0350276,2.4688
5,13,2.23096,-0.366512,0.0343823,5.11152
5,14,0.118011,1.16676,0.0352947,1.37525
5,15,-0.0456948,-0.0972759,0.0356277,0.0115506
5,16,3.43798,5.2749,0.0259497,39.6442
5,17,1.90572,0.0845762,0.0347419,3.63894
5,18,0.187193,-0.780851,0.035473,0.64477
5,19,0.142462,-3.92171,0.0318699,15.4001
5,20,-0.402748,-0.0988606,0.0355885,0.171979
5,21,-1.01438,-0.48231,0.0353224,1.26159
5,22,-0.83266,-0.884919,0.03527,1.4764
5,23,5.41173,-1.29353,0.0280703,30.9601
5,24,0.832827,-1.76191,0.0347031,3.79794
5,25,1.05203,0.199616,0.0353505,1.14662
5,26,0.193944,-0.55758,0.0355454,0.348509
5,27,9.7965,7.06685,0,145.912
5,28,-0.832112,-1.65788,0.0347902,3.44099
5,29,0.529702,1.2528,0.0351787,1.85008
6,0,1.01711,-0.352814,0.0348441,1.15898
6,1,0.705279,-0.0482768,0.0350027,0.49975
6,2,-1.11184,-0.245929,0.0348109,1.29667
6,3,1.05823,0.321371,0.0348286,1.22313
6,4,2.81869,-0.0638799,0.0332096,7.9491
6,5,0.298503,-0.441366,0.0350547,0.283908
6,6,0.692699,-1.07582,0.0347289,1.63722
6,7,0.273816,-0.387181,0.0350689,0.224884
6,8,-0.7826,0.865543,0.0347953,1.36163
6,9,0.581441,0.800464,0.0348874,0.978816
6,10,0.187041,0.284627,0.0350951,0.115997
6,11,-1.32371,-1.1002,0.0344099,2.96265
6,12,-1.21393,0.731923,0.0346394,2.00933
6,13,-2.07594,-0.150511,0.0340802,4.33216
6,14,1.24189,0.725984,0.0346249,2.06933
6,15,1.30132,-0.40495,0.0346759,1.85741
6,16,1.97615,3.48107,0.0312661,16.023
6,17,0.763845,-0.0270925,0.0349824,0.584193
6,18,0.406143,0.279398,0.0350645,0.243015
6,19,0.301469,-3.30687,0.0324689,11.0262
6,20,0.595054,-0.374879,0.035004,0.494623
6,21,0.0619055,-0.486718,0.0350651,0.240727
6,22,0.318236,-0.322629,0.0350736,0.205363
6,23,2.70524,-1.68674,0.0326766,10.1634
