iter,agent,mass,fitness,x1,x2
0,0,0.01945680606738809,575.8387847936685,1.2873938744234388,-0.742109019907436
0,1,0.014931490179984637,964.8144912282887,1.982030512854994,0.8238514099599588
0,2,0.02478748670750495,117.63756318645181,1.2021943897773224,0.36085131865112396
0,3,0.02177345609917533,376.71001564308574,-1.5345563973110083,0.4305815496997787
0,4,0.025964053141179676,16.505228760957166,-1.1971904650308747,1.7749897938732264
0,5,0.02395228849634011,189.42742764764407,0.24387368012240707,1.4337221684201968
0,6,0.019964348422133665,532.2127372657628,0.7373065036096027,-1.7632031906010666
0,7,0.026132263942278397,2.04658834439872,-0.39701175981828607,0.18843172532436547
0,8,0.013996418565136512,1045.189022200801,-1.176329248907881,-1.8418542681273529
0,9,0.026086765760315024,5.957406486388624,0.3139049639774867,-0.1357003079567789
0,10,0.02587031098007505,24.56288136370273,-1.385662550866478,1.4856473584271646
0,11,0.026059256629843687,8.32196704408957,0.6248685773978959,0.10443200864649649
0,12,0.014706117121688823,984.1865409908183,1.2936869833123947,-1.4634112681492284
0,13,0.02258436662734612,307.0078106702769,-0.30255106744131677,1.8388527220455768
0,14,0.02348010410688697,230.01426424090607,0.09595380284800514,1.5231323771802296
0,15,0.019727295311614643,552.5887515420981,-1.7019569117120368,0.561516690327764
0,16,0.02274586305218876,293.12630769836494,0.8985750066139366,-0.9046261008017713
0,17,0.015311726489586433,932.1310961196401,1.9834015305965114,0.8823836100276568
0,18,0.022459183559051316,317.76798159208283,1.182679810985635,-0.38377964187140967
0,19,0.02446889926276565,145.0219004265585,0.1587005766388332,1.2264939754988422
0,20,0.012321208674722991,1189.1824950904354,1.4470703977012098,-1.3541499968430053
0,21,0.025992253943109805,14.081215249916765,-0.1338641820303268,0.375628540934112
0,22,0.009421082889446902,1438.4642036264324,-1.8526035332359676,-0.3498263789358489
0,23,0.026153337653879487,0.23518731490323624,0.5899314326441201,0.3221287331209606
0,24,0.020725764081571486,466.7648875709766,1.0508330845348701,-1.0562180729913702
0,25,0.0248992994937258,108.02664129926534,0.9988358123091197,-0.04168566817719466
0,26,0.024375094845548798,153.08490428341224,-0.1916307336661025,1.2682454620176986
0,27,0.023189526008500706,254.99104462630342,0.5181345650995031,-1.3276532672085
0,28,0.020302248522590084,503.16837140276886,0.9729455452243472,-1.2965168177966975
0,29,0.02059071302240226,478.3732664006885,0.6215592137928865,-1.8005113011244243
0,30,0.0234996148629939,228.3372078036101,0.6329756718616566,1.9112954870390357
0,31,0.026145220437387973,0.9329065675766666,1.407168099409505,1.8925366327604065
0,32,0.01533058856134701,930.5097976577331,1.898050365776744,0.5534915470041541
0,33,0.024721300413941744,123.32663792412896,0.39221134189932183,1.2626905524673417
0,34,0.016027087924472293,870.641859475329,-0.9860596498657623,-1.9716588982704883
0,35,0.02441573475391608,149.59168138805424,-1.762581956571888,1.9152262185728834
0,36,0.010117945494096846,1378.565042843844,1.4835039268466121,-1.511804504438111
0,37,0.021253587375583735,421.39558214136935,-1.3490718984616237,-0.21931235439797314
0,38,0.002440832307513774,2038.4550039937435,-1.9129532455053795,-0.8461283938263482
0,39,2.6153337653879486e-08,2248.257920458958,1.9995967654691809,-0.7421388294198636
0,40,0.02522086151304994,80.38662306820235,0.6678564793536657,-0.449938167530765
0,41,0.01675371813340167,808.1840099312138,-1.378283504941758,-0.9332267020272949
0,42,0.005276849075524948,1794.6838169108153,-1.936478908893681,-0.4762308187966455
0,43,0.024009404553656695,184.51798943465195,-0.8536724931465782,-0.6169099780636125
0,44,0.025980202567185397,15.117097071283908,0.4720188469000237,0.6080073599772535
0,45,0.005163981593253761,1804.3853957049362,1.6411349583264627,-1.5539979596813227
0,46,0.0257104710505881,38.30199947957,1.0163996974373553,0.41418442587145865
0,47,0.02274329521710275,293.34702719981874,1.349787984179744,0.10954716680134924
0,48,0.02304385339721281,267.5124040835758,-1.5764212735563292,0.8699431805833946
0,49,0.01971639495645049,553.5256968197015,-1.0278757667134295,-1.2874283546817715
555,0,0.022557925673507395,2.179758401725488,0.07280858721851458,0.12019558483570936
555,1,0.020242135708046786,10.119589031021611,-0.22300395308840149,0.3433946928112227
555,2,0.022772748168871097,1.4432260503508332,0.37691635028454096,0.24477877831110406
555,3,0.02311025447690981,0.2860645797018933,0.4855805189101842,0.22114700012317323
555,4,0.02252860880368994,2.280273122146349,-0.4482011930317903,0.24366122220914443
555,5,0.016960707596087293,21.370170396239313,0.20889525924230712,-0.4118221397144164
555,6,0.02225682061396809,3.212115916881516,0.4161809488741399,0.003758323659873608
555,7,0.0199725000611975,11.04405169798813,0.08335307671277581,0.326381767961585
555,8,0.02241629507561076,2.6653477582721457,0.006081173846193166,-0.12948032030367929
555,9,0.022760893495692644,1.483870538238951,-0.16922346935322968,0.0628106980699672
555,10,0.02270676995964652,1.6694364641968957,0.0758743992018851,0.09605799522012548
555,11,0.023106345581215507,0.29946647288878786,0.4649908970509242,0.22771946120707456
555,12,0.014165131742865284,30.954976927481823,0.1638952828547143,0.5769153504804144
555,13,0.023051200298545182,0.488535521005132,0.3261825831975921,0.08781939190935517
555,14,0.021095943806410857,7.192254604307408,0.6986875184951887,0.22167850042432136
555,15,0.022327878109425412,2.9684908527402323,0.07981052310030978,-0.13929229258625342
555,16,0.02263959128437241,1.8997627509207444,0.3066913697778738,-0.025065795379109246
555,17,0.019946291419202088,11.133909665062466,-0.12796520185065308,0.3304070047738442
555,18,0.022777929876517923,1.4254602418362565,0.07347855615966647,-0.06990151638645081
