iter,avg_best,median_best,std_best,avg_mean
0,66734.05998860109,67540.893848078078,7336.2690494350391,99930.462257854437
1,37065.335810659373,36904.699000963599,5197.6175509955692,71755.563370521122
2,20687.013935431325,20183.792550669317,3322.9925403892344,47119.680112411268
3,13082.590913640108,12576.715293830766,2129.3825268464639,29138.584908973913
4,9236.7527657361316,8756.6471994529165,2033.5124310120214,19315.795472887949
5,7217.2141738257906,6614.2791837548193,1700.5199411503613,13718.519401168001
6,6293.5619155133854,5903.0912538501925,1518.8690207387558,10346.997941998463
7,5777.846807719503,5477.1998749577169,1349.9349105298172,8582.9041818053138
8,5285.4025085152543,5029.0521373311731,1149.9912332065644,7450.0368823736553
9,5115.3684715545069,4873.9414274601331,1131.3675153152979,6762.0820248054406
10,4985.6299107358309,4774.327115481974,1121.4926852753354,6338.4429056662593
11,4849.4536035719984,4709.5760344175324,1133.5236706994751,6016.3949835140747
12,4750.3848186825771,4602.3207008920535,1161.9097806932386,5818.4447614091287
13,4691.1176428237441,4602.3207008920535,1151.9824815135298,5659.8119747259188
14,4633.250783024574,4554.4026203914327,1161.1421835855947,5544.4349402666412
15,4590.951246051186,4554.4026203914327,1152.2400422009948,5513.8794590474672
16,4530.7761275256335,4554.4026203914327,1128.6004559717605,5364.5318335965503
17,4473.749458785921,4422.7990935421767,1136.2618533084917,5328.957120757912
18,4404.8867232553421,4354.0628874795602,1119.8777722200884,5243.5110054143088
19,4361.9344560318868,4335.5932425849769,1096.0600796492424,5268.5378746332726
20,4322.3261359114467,4310.5481836733798,1115.7396734735598,5210.0008766501751
21,4274.9598917962439,4169.3464685408744,1122.3925499445397,5106.9964083858658
22,4240.4823293535692,4160.1159828280133,1123.6555359654665,5042.7701519199245
23,4184.4408146439691,4132.3205846881401,1109.633022927585,4976.6172899453395
24,4143.4814379184872,4072.6457098115488,1117.5422911513608,4961.2393765306106
25,4109.8390434665353,4018.0336052939901,1112.7072309878301,4922.6295816576812
26,4054.0811494634227,3940.1138778441241,1142.9433619298586,4860.9927499165751
27,4031.1939179084088,3904.0875334246257,1149.061905104805,4804.5963873453038
28,4004.74000861786,3812.9702963410814,1163.2361347763594,4776.1878110342313
