iter,avg_best,median_best,std_best,avg_mean
148,0.236245,0.239439,0.0439369,1.33058
149,0.227128,0.232192,0.0461925,0.775624
150,0.221461,0.221542,0.0466974,1.25418
151,0.206258,0.202799,0.0418984,0.735342
152,0.20165,0.201526,0.0439269,1.15487
153,0.186299,0.185045,0.0361415,0.689939
154,0.184024,0.18335,0.0378064,1.04194
155,0.17139,0.174253,0.0364604,0.622768
156,0.171073,0.174253,0.0362964,0.969949
157,0.161207,0.161293,0.0338402,0.58233
158,0.158789,0.155029,0.034248,0.908261
159,0.151671,0.147007,0.0326401,0.540968
160,0.150863,0.147007,0.0321729,0.841534
161,0.14137,0.14208,0.0299533,0.496502
162,0.139044,0.138344,0.032004,0.768026
163,0.13069,0.130487,0.0298099,0.453112
164,0.127273,0.124077,0.027299,0.688816
165,0.11615,0.110329,0.0271678,0.411225
166,0.114564,0.109269,0.0278538,0.634727
167,0.109023,0.105853,0.024908,0.38195
168,0.107583,0.105853,0.0243387,0.569647
169,0.0981456,0.0984663,0.0184521,0.347804
170,0.095268,0.0966443,0.0168373,0.543288
171,0.0875389,0.0874881,0.0144866,0.320138
172,0.0875389,0.0874881,0.0144866,0.501015
173,0.0835815,0.0831195,0.0137618,0.29333
174,0.0819709,0.0825303,0.0157441,0.469686
175,0.0763859,0.0767112,0.0141623,0.28388
176,0.0763859,0.0767112,0.0141623,0.430623
177,0.0716486,0.0704813,0.0129505,0.256343
178,0.0705539,0.0704813,0.0133403,0.397576
179,0.0666508,0.0666487,0.0137226,0.228652
180,0.0663819,0.0666487,0.0135202,0.365195
181,0.0610522,0.0582726,0.0127516,0.21424
182,0.060382,0.0576685,0.0130439,0.333706
183,0.0567974,0.0552683,0.013699,0.192826
184,0.0553515,0.0551024,0.0118314,0.296894
185,0.0525089,0.0521341,0.0100737,0.175529
186,0.0507171,0.0491706,0.00949575,0.266608
187,0.0470796,0.0473107,0.00790373,0.151338
188,0.046754,0.0473107,0.00812268,0.256264
189,0.0422459,0.040962,0.00975821,0.149644
190,0.0410758,0.038406,0.00877131,0.233859
191,0.0385238,0.036709,0.00799589,0.138195
192,0.0376513,0.0353127,0.00746008,0.219915
193,0.0354105,0.0340481,0.00688981,0.124504
194,0.0347683,0.0338207,0.00658097,0.204347
195,0.0327802,0.0334984,0.00612522,0.115456
196,0.0323556,0.0331395,0.00613159,0.181415
197,0.0311867,0.0323259,0.00598829,0.101349
198,0.0299899,0.030582,0.00595517,0.167015
199,0.028209,0.0276658,0.00566312,0.0959461
200,0.0277193,0.0270697,0.00562725,0.151938
201,0.0259523,0.0262563,0.005299,0.0864401
202,0.0252782,0.0259989,0.00554702,0.141321
203,0.023561,0.0237275,0.00570335,0.0796895
204,0.022637,0.0234817,0.00538951,0.132745
205,0.0213105,0.0225257,0.00527531,0.0743558
206,0.0211128,0.0223085,0.00533114,0.122283
207,0.019913,0.0189091,0.00483681,0.0685799
208,0.0196831,0.0189091,0.00462516,0.109279
209,0.0187877,0.0170414,0.00473284,0.0614925
210,0.0184893,0.0170414,0.00448256,0.0976994
211,0.0174485,0.0164308,0.00415147,0.0559432
212,0.0172202,0.0163368,0.00421685,0.0915925
213,0.0156505,0.0147429,0.00373881,0.0543979
214,0.0155263,0.0147429,0.0036238,0.0838868
215,0.0147613,0.014736,0.00341008,0.0489545
216,0.0141473,0.0140576,0.00278457,0.0754095
217,0.0133684,0.0136745,0.00249353,0.0452068
218,0.0130538,0.0134255,0.0024176,0.0681738
219,0.0124753,0.0119086,0.00253971,0.0414776
220,0.0121931,0.0118701,0.00253197,0.0631243
221,0.0110927,0.0110064,0.002103,0.0381148
222,0.010946,0.0107148,0.00206894,0.0574871
223,0.0103288,0.010123,0.00177686,0.0368029
224,0.0100364,0.00982447,0.0018502,0.0528381
225,0.00951499,0.00934186,0.00195435,0.0328497
226,0.00927357,0.00894261,0.00197541,0.0462657
227,0.00867488,0.00850739,0.0019122,0.0287483
228,0.00850848,0.00831989,0.00186394,0.0435644
229,0.00804668,0.00795593,0.00198262,0.025425
230,0.00791481,0.00760743,0.00189045,0.0401549
231,0.00701024,0.00715979,0.00180825,0.0236421
232,0.00677069,0.00682731,0.0016803,0.0377049
233,0.00629933,0.00614917,0.00153983,0.0221794
234,0.00622385,0.00597115,0.00152643,0.0339801
235,0.00588375,0.00575088,0.00155055,0.0199109
236,0.00578243,0.00563373,0.00155107,0.0305529
237,0.00536939,0.00517629,0.00127936,0.0178079
238,0.00536939,0.00517629,0.00127936,0.0285269
239,0.00512806,0.00517629,0.00101036,0.01697
240,0.00504654,0.00492877,0.00102864,0.0263566
241,0.00471111,0.00474035,0.0009326,0.0159907
242,0.00459803,0.00458025,0.000954398,0.0247188
243,0.0043349,0.00426969,0.000903805,0.015383
244,0.00427614,0.00423416,0.000899156,0.0229546
245,0.00397886,0.00399933,0.000822317,0.0131758
246,0.0039093,0.0038573,0.000858071,0.0220248
247,0.00372779,0.00377999,0.00090718,0.0130406
248,0.00363556,0.00362845,0.000852433,0.0199087
249,0.00343529,0.00334086,0.00083113,0.0119958
250,0.00336443,0.00334086,0.00083577,0.0180873
251,0.00320292,0.00331562,0.000765093,0.0108264
252,0.00309335,0.00311244,0.000794286,0.0167517
253,0.00282151,0.00274936,0.000673635,0.0102026
254,0.00277992,0.00262034,0.000681476,0.0145321
255,0.00255399,0.0024427,0.0006351,0.00895656
256,0.00248803,0.00241096,0.000635911,0.0133636
257,0.00224763,0.00228394,0.000583509,0.008159
258,0.00224763,0.00228394,0.000583509,0.012602
259,0.00205928,0.00213691,0.0004671,0.00762559
260,0.00200676,0.00212757,0.000486933,0.0115062
261,0.00186323,0.00183513,0.00043398,0.00703622
262,0.00183813,0.00180001,0.000436003,0.0108715
263,0.00172377,0.00166687,0.000421908,0.00682111
264,0.00171406,0.00165091,0.000423759,0.00985262
265,0.00162597,0.00156864,0.000393832,0.00620026
266,0.00161462,0.00156864,0.000395636,0.00881053
267,0.00155715,0.00145731,0.000385856,0.00565656
268,0.00152798,0.00142707,0.000395013,0.00825263
269,0.00144259,0.00139113,0.000265305,0.0053512
270,0.00143103,0.00135566,0.000264502,0.0075607
271,0.00133298,0.00129363,0.000240101,0.00488884
272,0.00131058,0.00128629,0.000262957,0.00690896
273,0.00125529,0.00123267,0.000245198,0.00430389
274,0.00123669,0.00120527,0.000238749,0.00625673
275,0.00115939,0.00118085,0.000198331,0.0039298
276,0.00114763,0.0011641,0.000199268,0.00567345
277,0.00107561,0.00107295,0.00023768,0.00349723
278,0.00105185,0.0010423,0.000237372,0.00532
279,0.000976156,0.000892225,0.000248009,0.00317046
280,0.000954902,0.000890589,0.00025102,0.00497778
281,0.000884156,0.00082246,0.000235581,0.00291209
282,0.000876127,0.00082246,0.000230247,0.00463133
283,0.000818159,0.000769236,0.000169125,0.00270776
284,0.000794326,0.000752353,0.000165611,0.00423659
285,0.000710668,0.00071243,0.000153747,0.00249965
286,0.000689263,0.000673325,0.000144153,0.00355582
287,0.00064715,0.000642043,0.000146425,0.00233639
288,0.000637718,0.000642043,0.000141288,0.0031372
289,0.000613496,0.000610349,0.000133505,0.00207117
290,0.000590706,0.000595133,0.000126861,0.00289146
291,0.000558067,0.000556952,0.000132229,0.00181735
292,0.000549394,0.000554764,0.000128135,0.00273893
293,0.000513443,0.000529008,0.000112552,0.00166538
294,0.000504018,0.000529008,0.000122245,0.00254384
295,0.000484782,0.000490543,0.000119284,0.00162978
296,0.000471038,0.000438273,0.000119673,0.00238131
297,0.000449126,0.000436706,0.000109229,0.00156867
